stack,linear,m,k,n,us,gb_s,tflop_s,occupancy,tensor,dram,regs,smem,skip_reason,notes
bitsandbytes-nf4,q_proj,1,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,q_proj,2,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,q_proj,4,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,q_proj,8,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,q_proj,16,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,q_proj,32,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,q_proj,64,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,q_proj,128,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,q_proj,256,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,k_proj,1,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
