codec,message_id,item_id,kind,gold,extracted,correct,pending_human,notes
bf16,1,gsm8k-lamps,gsm8k,164,4,false,false,number miss
bf16,2,gsm8k-money,gsm8k,44,44,true,false,
bf16,3,gsm8k-tank,gsm8k,90,90,true,false,
bf16,4,gsm8k-train,gsm8k,240,2,false,false,number miss
bf16,5,gsm8k-machines,gsm8k,108,18,false,false,number miss
bf16,6,gsm8k-stickers,gsm8k,48,3,false,false,number miss
bf16,7,trap-sheep,gsm8k,9,8,false,false,number miss
bf16,8,logic-yesno,yesno,no,no,true,false,
bf16,9,code-sum,gsm8k,15,15,true,false,
bf16,10,code-loop,gsm8k,33,33,true,false,
bf16,11,trap-batball,gsm8k,0.05,0.05,true,false,
bf16,12,prefill-warehouse,gsm8k,7429,7429,true,false,
